SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-07-07,Historical,Adult-Use,Delivery Couriers,Infused (edible),7.0,5,101.65
2001-01-01 - 2026-04-12,2021-07-07,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,6.0,3,90.0
2001-01-01 - 2026-04-12,2021-07-07,Historical,Adult-Use,Delivery Couriers,Vape Product,5.0,5,312.5
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Couriers,Buds,22.5,9,308.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),1.0,1,30.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Couriers,Infused (edible),9.0,9,249.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),2.0,2,40.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Couriers,Infused Beverage,36.0,11,373.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,4.0,3,60.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Couriers,Vape Product,12.0,12,695.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Operators,Buds,4.5,2,66.67
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Operators,Infused (edible),7.0,7,175.0
2001-01-01 - 2026-04-12,2021-07-08,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,23.6,7,404.22
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Buds,77.05,20,1097.11
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Concentrate,0.5,1,55.0
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),5.0,5,250.0
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Infused (edible),28.0,23,642.99
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),1.0,1,20.0
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Infused Beverage,10.0,4,169.0
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,0.75,1,20.0
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,27.0,12,404.33
